,True Values,Predict Values,Prediction Error,Root Mean Square Error
22293,10.0,9.292,0.7080000000000002,1.0260619409113207
21985,10.0,10.0,0.0,1.0260619409113207
27252,10.0,10.0,0.0,1.0260619409113207
11980,10.0,10.0,0.0,1.0260619409113207
26562,10.0,10.0,0.0,1.0260619409113207
5715,10.0,10.0,0.0,1.0260619409113207
12270,3.0,4.2345,-1.2344999999999997,1.0260619409113207
13314,10.0,10.0,0.0,1.0260619409113207
23519,6.0,9.322,-3.321999999999999,1.0260619409113207
12446,10.0,10.0,0.0,1.0260619409113207
5906,10.0,10.0,0.0,1.0260619409113207
26569,8.0,10.0,-2.0,1.0260619409113207
27419,8.0,9.796,-1.7959999999999994,1.0260619409113207
21725,10.0,10.0,0.0,1.0260619409113207
26815,10.0,10.0,0.0,1.0260619409113207
27479,10.0,9.992,0.007999999999999119,1.0260619409113207
13008,10.0,10.0,0.0,1.0260619409113207
22103,10.0,10.0,0.0,1.0260619409113207
6173,10.0,10.0,0.0,1.0260619409113207
25862,10.0,10.0,0.0,1.0260619409113207
13049,10.0,9.988,0.012000000000000455,1.0260619409113207
21630,10.0,10.0,0.0,1.0260619409113207
21229,10.0,10.0,0.0,1.0260619409113207
27495,9.0,9.992,-0.9920000000000009,1.0260619409113207
23286,10.0,10.0,0.0,1.0260619409113207
22735,10.0,10.0,0.0,1.0260619409113207
12078,10.0,10.0,0.0,1.0260619409113207
13461,3.0,7.364,-4.364,1.0260619409113207
21832,10.0,10.0,0.0,1.0260619409113207
23451,10.0,10.0,0.0,1.0260619409113207
5919,10.0,10.0,0.0,1.0260619409113207
12071,10.0,10.0,0.0,1.0260619409113207
26457,10.0,10.0,0.0,1.0260619409113207
26352,10.0,10.0,0.0,1.0260619409113207
26733,10.0,10.0,0.0,1.0260619409113207
26009,10.0,10.0,0.0,1.0260619409113207
13047,10.0,9.988,0.012000000000000455,1.0260619409113207
22837,6.0,6.012,-0.011999999999999567,1.0260619409113207
23231,10.0,10.0,0.0,1.0260619409113207
11596,10.0,10.0,0.0,1.0260619409113207
12488,0.75,1.6565,-0.9065000000000001,1.0260619409113207
13011,10.0,10.0,0.0,1.0260619409113207
13760,10.0,10.0,0.0,1.0260619409113207
22111,10.0,10.0,0.0,1.0260619409113207
22188,10.0,9.988,0.012000000000000455,1.0260619409113207
6122,10.0,9.172,0.8279999999999994,1.0260619409113207
11816,10.0,10.0,0.0,1.0260619409113207
23758,10.0,9.944,0.05599999999999916,1.0260619409113207
25608,10.0,10.0,0.0,1.0260619409113207
13257,6.0,5.7755,0.22449999999999992,1.0260619409113207
25733,10.0,10.0,0.0,1.0260619409113207
22130,10.0,10.0,0.0,1.0260619409113207
22957,10.0,9.916,0.08399999999999963,1.0260619409113207
13275,0.25,1.4225,-1.1725,1.0260619409113207
12615,8.0,7.51,0.4900000000000002,1.0260619409113207
25746,10.0,10.0,0.0,1.0260619409113207
22099,10.0,10.0,0.0,1.0260619409113207
21774,10.0,10.0,0.0,1.0260619409113207
22215,10.0,10.0,0.0,1.0260619409113207
22887,10.0,10.0,0.0,1.0260619409113207
11402,10.0,10.0,0.0,1.0260619409113207
13684,10.0,10.0,0.0,1.0260619409113207
26051,10.0,10.0,0.0,1.0260619409113207
26025,10.0,10.0,0.0,1.0260619409113207
25827,10.0,10.0,0.0,1.0260619409113207
6161,10.0,10.0,0.0,1.0260619409113207
26329,10.0,10.0,0.0,1.0260619409113207
13004,10.0,10.0,0.0,1.0260619409113207
6167,10.0,10.0,0.0,1.0260619409113207
25572,10.0,10.0,0.0,1.0260619409113207
26723,10.0,10.0,0.0,1.0260619409113207
21653,10.0,10.0,0.0,1.0260619409113207
27142,10.0,10.0,0.0,1.0260619409113207
26471,10.0,10.0,0.0,1.0260619409113207
25445,10.0,10.0,0.0,1.0260619409113207
21746,10.0,10.0,0.0,1.0260619409113207
23556,10.0,10.0,0.0,1.0260619409113207
26152,9.0,6.538,2.4619999999999997,1.0260619409113207
22371,10.0,10.0,0.0,1.0260619409113207
4370,10.0,10.0,0.0,1.0260619409113207
26032,10.0,10.0,0.0,1.0260619409113207
23463,10.0,10.0,0.0,1.0260619409113207
13586,10.0,10.0,0.0,1.0260619409113207
26658,10.0,7.889,2.1109999999999998,1.0260619409113207
26145,0.75,4.5965,-3.8465,1.0260619409113207
26201,10.0,10.0,0.0,1.0260619409113207
22385,10.0,9.958,0.041999999999999815,1.0260619409113207
26441,9.0,9.888,-0.8879999999999999,1.0260619409113207
12492,1.5,2.265,-0.7650000000000001,1.0260619409113207
11578,10.0,10.0,0.0,1.0260619409113207
12811,10.0,10.0,0.0,1.0260619409113207
26101,10.0,10.0,0.0,1.0260619409113207
13072,0.25,4.5756999999999985,-4.3256999999999985,1.0260619409113207
26011,10.0,10.0,0.0,1.0260619409113207
25704,10.0,10.0,0.0,1.0260619409113207
12887,10.0,10.0,0.0,1.0260619409113207
5969,10.0,10.0,0.0,1.0260619409113207
21802,10.0,10.0,0.0,1.0260619409113207
13054,10.0,9.992,0.007999999999999119,1.0260619409113207
22315,10.0,10.0,0.0,1.0260619409113207
12098,10.0,10.0,0.0,1.0260619409113207
27100,10.0,9.99,0.009999999999999787,1.0260619409113207
22514,10.0,10.0,0.0,1.0260619409113207
25357,10.0,10.0,0.0,1.0260619409113207
23314,10.0,10.0,0.0,1.0260619409113207
23774,10.0,10.0,0.0,1.0260619409113207
12234,10.0,10.0,0.0,1.0260619409113207
26317,10.0,10.0,0.0,1.0260619409113207
13546,10.0,10.0,0.0,1.0260619409113207
21588,10.0,9.962,0.038000000000000256,1.0260619409113207
11574,10.0,10.0,0.0,1.0260619409113207
26859,10.0,10.0,0.0,1.0260619409113207
25398,10.0,10.0,0.0,1.0260619409113207
11577,10.0,10.0,0.0,1.0260619409113207
22133,10.0,10.0,0.0,1.0260619409113207
22231,10.0,10.0,0.0,1.0260619409113207
23243,10.0,9.996,0.0039999999999995595,1.0260619409113207
23396,10.0,10.0,0.0,1.0260619409113207
27150,10.0,10.0,0.0,1.0260619409113207
21694,10.0,10.0,0.0,1.0260619409113207
22739,10.0,10.0,0.0,1.0260619409113207
26549,10.0,10.0,0.0,1.0260619409113207
25619,10.0,10.0,0.0,1.0260619409113207
27469,10.0,10.0,0.0,1.0260619409113207
11726,10.0,10.0,0.0,1.0260619409113207
12735,10.0,10.0,0.0,1.0260619409113207
21797,10.0,10.0,0.0,1.0260619409113207
26771,10.0,10.0,0.0,1.0260619409113207
12999,10.0,10.0,0.0,1.0260619409113207
26516,10.0,10.0,0.0,1.0260619409113207
13336,10.0,10.0,0.0,1.0260619409113207
21260,10.0,10.0,0.0,1.0260619409113207
26192,10.0,10.0,0.0,1.0260619409113207
23303,10.0,10.0,0.0,1.0260619409113207
26853,10.0,10.0,0.0,1.0260619409113207
25328,5.0,6.557,-1.5570000000000004,1.0260619409113207
13062,7.0,9.886,-2.8859999999999992,1.0260619409113207
21271,10.0,10.0,0.0,1.0260619409113207
23719,10.0,10.0,0.0,1.0260619409113207
27137,10.0,10.0,0.0,1.0260619409113207
23486,10.0,10.0,0.0,1.0260619409113207
22825,10.0,10.0,0.0,1.0260619409113207
23506,10.0,9.21,0.7899999999999991,1.0260619409113207
12630,10.0,10.0,0.0,1.0260619409113207
12864,10.0,10.0,0.0,1.0260619409113207
21697,10.0,10.0,0.0,1.0260619409113207
22562,10.0,10.0,0.0,1.0260619409113207
22752,10.0,10.0,0.0,1.0260619409113207
22953,10.0,10.0,0.0,1.0260619409113207
23441,10.0,10.0,0.0,1.0260619409113207
27370,10.0,10.0,0.0,1.0260619409113207
12407,10.0,10.0,0.0,1.0260619409113207
12789,10.0,10.0,0.0,1.0260619409113207
22568,10.0,10.0,0.0,1.0260619409113207
21979,10.0,10.0,0.0,1.0260619409113207
12087,10.0,10.0,0.0,1.0260619409113207
22416,10.0,10.0,0.0,1.0260619409113207
5905,10.0,10.0,0.0,1.0260619409113207
27491,10.0,9.992,0.007999999999999119,1.0260619409113207
13013,10.0,10.0,0.0,1.0260619409113207
23597,10.0,10.0,0.0,1.0260619409113207
22824,10.0,10.0,0.0,1.0260619409113207
21663,10.0,10.0,0.0,1.0260619409113207
27319,10.0,10.0,0.0,1.0260619409113207
11210,10.0,10.0,0.0,1.0260619409113207
12989,10.0,10.0,0.0,1.0260619409113207
12675,10.0,10.0,0.0,1.0260619409113207
22491,10.0,10.0,0.0,1.0260619409113207
23181,0.5,2.8362200000000004,-2.3362200000000004,1.0260619409113207
