,True Values,Predict Values,Prediction Errors,"Mean Squared, Error"
1252,0.0,3.1103198589402536,-3.1103198589402536,3.533212324815964
337,4.0,3.0473279090840544,0.9526720909159456,3.533212324815964
29263,0.0,2.9235832943135507,-2.9235832943135507,3.533212324815964
1386,5.0,3.1656399244742746,1.8343600755257254,3.533212324815964
47,5.0,3.813896150565806,1.1861038494341938,3.533212324815964
1077,6.0,3.0446957699423387,2.9553042300576613,3.533212324815964
29843,3.0,3.176440926692181,-0.17644092669218114,3.533212324815964
15120,0.0,3.021337482869574,-3.021337482869574,3.533212324815964
23945,6.0,3.0006708425607633,2.9993291574392367,3.533212324815964
7831,4.0,3.3884306461365856,0.6115693538634144,3.533212324815964
16754,5.0,3.2674739007096667,1.7325260992903333,3.533212324815964
16673,2.0,2.924104417134281,-0.9241044171342812,3.533212324815964
15727,4.0,3.229620738615244,0.7703792613847562,3.533212324815964
270,1.0,2.9490367754463866,-1.9490367754463866,3.533212324815964
15150,1.0,2.961647467977319,-1.9616474679773188,3.533212324815964
27938,1.0,2.71198086524868,-1.7119808652486799,3.533212324815964
1443,1.0,2.83905053076528,-1.83905053076528,3.533212324815964
27546,5.0,3.6630672829815216,1.3369327170184784,3.533212324815964
425,0.0,2.9501636311361077,-2.9501636311361077,3.533212324815964
1582,6.0,2.913541928310467,3.086458071689533,3.533212324815964
14903,5.0,3.0817174405502334,1.9182825594497666,3.533212324815964
322,3.0,2.8777554545122537,0.12224454548774633,3.533212324815964
24365,2.0,3.0070945957931396,-1.0070945957931396,3.533212324815964
14249,6.0,3.0988453214483656,2.9011546785516344,3.533212324815964
30178,3.0,3.223348847227716,-0.22334884722771609,3.533212324815964
3255,6.0,3.179826173971534,2.820173826028466,3.533212324815964
29253,6.0,2.979023711925047,3.020976288074953,3.533212324815964
7629,3.0,3.1166842062709756,-0.11668420627097564,3.533212324815964
29913,6.0,3.1816796339278497,2.8183203660721503,3.533212324815964
9003,4.0,3.31340137324995,0.6865986267500501,3.533212324815964
29156,2.0,2.8870848769664157,-0.8870848769664157,3.533212324815964
28812,2.0,2.820272332054186,-0.820272332054186,3.533212324815964
6397,0.0,2.9460318837353534,-2.9460318837353534,3.533212324815964
24087,5.0,3.1481373926689744,1.8518626073310256,3.533212324815964
14605,0.0,2.9702788600227366,-2.9702788600227366,3.533212324815964
7234,0.0,2.927766418174012,-2.927766418174012,3.533212324815964
6989,4.0,3.226859393095261,0.7731406069047391,3.533212324815964
14600,6.0,3.0435226688821957,2.9564773311178043,3.533212324815964
1864,4.0,3.1105161961663224,0.8894838038336776,3.533212324815964
15721,4.0,3.282001138279979,0.7179988617200208,3.533212324815964
7520,5.0,3.077110560558379,1.922889439441621,3.533212324815964
110,1.0,2.872745094551079,-1.872745094551079,3.533212324815964
806,2.0,2.8860800510651,-0.8860800510650999,3.533212324815964
6716,0.0,3.0279683125494574,-3.0279683125494574,3.533212324815964
31202,4.0,3.15811997456411,0.84188002543589,3.533212324815964
14940,0.0,3.185172753896419,-3.185172753896419,3.533212324815964
121,2.0,2.902863888588635,-0.9028638885886351,3.533212324815964
16788,0.0,2.9841464807850238,-2.9841464807850238,3.533212324815964
27889,6.0,3.1131470713406526,2.8868529286593474,3.533212324815964
23960,6.0,2.9619562575023717,3.0380437424976283,3.533212324815964
6511,5.0,3.0868807851238094,1.9131192148761906,3.533212324815964
29613,0.0,3.1976746814624373,-3.1976746814624373,3.533212324815964
7847,5.0,3.391722566541517,1.608277433458483,3.533212324815964
15200,3.0,3.080372328834285,-0.0803723288342848,3.533212324815964
29668,3.0,3.3090375858898344,-0.30903758588983443,3.533212324815964
28132,2.0,3.198072806576092,-1.198072806576092,3.533212324815964
2003,3.0,3.2917571092739224,-0.2917571092739224,3.533212324815964
15049,4.0,2.9664699813268807,1.0335300186731193,3.533212324815964
458,2.0,3.09495461048149,-1.0949546104814898,3.533212324815964
27852,4.0,2.89864232059282,1.10135767940718,3.533212324815964
16134,0.0,2.933783228967917,-2.933783228967917,3.533212324815964
3250,6.0,3.306565044555886,2.693434955444114,3.533212324815964
28673,3.0,3.03051553948436,-0.030515539484360144,3.533212324815964
714,5.0,3.9022537791225615,1.0977462208774385,3.533212324815964
24304,0.0,3.047305354354482,-3.047305354354482,3.533212324815964
28701,4.0,3.280388636162867,0.7196113638371329,3.533212324815964
16243,5.0,2.963979716536088,2.036020283463912,3.533212324815964
27802,2.0,3.1344847620509952,-1.1344847620509952,3.533212324815964
7316,4.0,3.1082918026571904,0.8917081973428096,3.533212324815964
27707,5.0,3.8003653455866244,1.1996346544133756,3.533212324815964
24773,5.0,3.0033599737604866,1.9966400262395134,3.533212324815964
16757,5.0,3.283586969115119,1.716413030884881,3.533212324815964
45,5.0,3.263558045045496,1.736441954954504,3.533212324815964
785,1.0,2.873699062881501,-1.8736990628815011,3.533212324815964
7243,1.0,2.963109159276261,-1.9631091592762608,3.533212324815964
28797,1.0,3.0384718157501935,-2.0384718157501935,3.533212324815964
6991,4.0,3.2167833597578404,0.7832166402421596,3.533212324815964
2710,5.0,3.4031725951944845,1.5968274048055155,3.533212324815964
13985,2.0,2.724856901048449,-0.7248569010484491,3.533212324815964
27577,0.0,2.8648348928062433,-2.8648348928062433,3.533212324815964
7329,4.0,3.1494897608208214,0.8505102391791786,3.533212324815964
30437,0.0,3.019815115925823,-3.019815115925823,3.533212324815964
15587,6.0,3.103911764275098,2.896088235724902,3.533212324815964
8187,5.0,3.228990530293543,1.7710094697064571,3.533212324815964
542,5.0,3.2644345518591065,1.7355654481408935,3.533212324815964
14126,1.0,2.6303752964591354,-1.6303752964591354,3.533212324815964
15142,1.0,2.8827702874534067,-1.8827702874534067,3.533212324815964
14620,0.0,2.885818070398417,-2.885818070398417,3.533212324815964
16282,0.0,2.976163347507721,-2.976163347507721,3.533212324815964
2451,1.0,2.8313579930502453,-1.8313579930502453,3.533212324815964
17095,5.0,3.182813579325644,1.8171864206743562,3.533212324815964
14671,2.0,3.024299019357498,-1.024299019357498,3.533212324815964
15758,6.0,3.3310173166963035,2.6689826833036965,3.533212324815964
49,6.0,4.218010954115513,1.7819890458844867,3.533212324815964
94,0.0,2.701986161585205,-2.701986161585205,3.533212324815964
14684,3.0,3.140854283535576,-0.14085428353557594,3.533212324815964
28545,5.0,3.0772116929982185,1.9227883070017815,3.533212324815964
30375,4.0,3.3115634221950345,0.6884365778049655,3.533212324815964
15115,0.0,3.0155397069117114,-3.0155397069117114,3.533212324815964
27568,6.0,3.4030414363430688,2.5969585636569312,3.533212324815964
16428,6.0,3.3277323315736567,2.6722676684263433,3.533212324815964
804,2.0,2.9312285384535444,-0.9312285384535444,3.533212324815964
1254,0.0,3.1391738867749406,-3.1391738867749406,3.533212324815964
688,4.0,3.730636340266119,0.2693636597338811,3.533212324815964
14260,6.0,3.435732592902629,2.564267407097371,3.533212324815964
3026,4.0,3.099335901253393,0.9006640987466068,3.533212324815964
15893,4.0,3.3607319437474974,0.6392680562525026,3.533212324815964
6414,1.0,2.9067111161851487,-1.9067111161851487,3.533212324815964
14234,5.0,3.037769116195893,1.9622308838041072,3.533212324815964
29661,2.0,3.218631390833214,-1.218631390833214,3.533212324815964
29838,3.0,3.175048534935338,-0.17504853493533812,3.533212324815964
392,6.0,3.2156228225824512,2.7843771774175488,3.533212324815964
14617,0.0,2.9146533676757627,-2.9146533676757627,3.533212324815964
29262,0.0,2.9379451976083777,-2.9379451976083777,3.533212324815964
